id2,author,title,journal,year
2b6eb018-abdf-11e9-aaf9-04ea56df376a,"[739949, 0, 0, 1996535, 0, 495662, 1418746, 0, 932227, 1686036, 0]","[0, 1937089, 230857]","[1387321, 1937089, 0, 180163, 1937089, 0, 0]",1926.0
2b6f4c2e-abdf-11e9-bb96-04ea56df376a,"[739949, 0, 0, 875065, 0, 739949, 1225031, 0, 932227, 1630582, 0]",[0],"[1209895, 1070335, 0, 0, 1937089, 0, 1659540, 1387321]",1926.0
2b708440-abdf-11e9-8b04-04ea56df376a,"[739949, 0, 0, 1996535, 0, 495662, 1418746, 0, 932227, 1686036, 0]",[1348912],"[1209895, 1070335, 0, 0, 1937089, 0, 1937089, 0]",1926.0
2b715782-abdf-11e9-929e-04ea56df376a,"[1185332, 978725, 375825, 1680988, 1100109, 1659540, 0, 1221010, 943229, 55252, 567038, 140426, 905124, 375825, 1898345, 1664706, 726540, 680721, 292869, 310389]","[1370156, 1937089, 1100109, 1937089, 1338392, 1937089, 403959, 1937089, 517481, 1937089, 789112, 1937089, 1043693, 1937089, 134043]","[1326715, 375825, 1245833, 1383114, 1537871]",2011.0
2b72ce78-abdf-11e9-aad0-04ea56df376a,"[1185332, 978725, 375825, 1680988, 1100109, 1659540, 0, 1221010, 943229, 55252, 567038, 140426, 905124, 375825, 1898345, 1664706, 726540, 680721, 292869, 310389]","[1370156, 1937089, 197982]","[1326715, 375825, 1245833, 1383114, 1537871]",2011.0
2b740e68-abdf-11e9-951c-04ea56df376a,"[1185332, 978725, 375825, 1680988, 1100109, 1659540, 0, 1221010, 943229, 55252, 567038, 140426, 905124, 375825, 1898345, 1664706, 726540, 680721, 292869, 310389]","[1897292, 1937089, 0, 1937089, 1043108, 1937089, 317196, 1937089, 770562, 1937089, 0, 1937089, 36946]","[1326715, 375825, 1245833, 1383114, 1537871, 1897776, 1569191, 1908390, 358748, 695776, 422870, 15730, 1937089, 0, 1145446, 1937089, 0, 0]",2011.0
2b74d998-abdf-11e9-8c74-04ea56df376a,[0],[1317076],[0],1959.0
2b761c0c-abdf-11e9-aac6-04ea56df376a,[0],"[1317076, 1937089, 1622345, 1937089, 1851672, 1937089, 1149565, 1807725, 1937089, 0, 0, 1613232, 934707]","[129186, 1338149]",1959.0
2b76e89e-abdf-11e9-8a6b-04ea56df376a,"[0, 0, 954632, 934707]","[1317076, 1937089, 1622345, 1937089, 1851672, 1937089, 1149565, 1807725]","[129186, 1338149]",1959.0
2b792b92-abdf-11e9-84b5-04ea56df376a,"[412074, 533137, 1937089, 1297703, 920204, 1027023, 1765082, 959435, 528828, 140426, 1980056, 1575946, 614682, 375825, 1476688, 1231264]","[1484314, 1937089, 1685930, 1937089, 1622116, 1937089, 667922, 1937089, 290259, 1937089, 1635872, 1937089, 71259, 1937089, 1575106]","[1522189, 1909716, 1937089, 0, 673727, 1937089, 0, 0]",1995.0
